antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,weight_cons,rule_type
Abdominal pain,Diarrhea,0.19233333333333333,0.7386666666666667,0.17733333333333334,0.9220103986135183,1.2482090233937522,1.0,0.035263111111111106,3.350874074074078,0.24620569169518924,0.23529411764705882,0.7015704028578507,0.5810413003897916,0.55,positive
Abdominal pain,Nausea,0.19233333333333333,0.7083333333333334,0.188,0.977469670710572,1.379957182179631,1.0,0.05176388888888889,12.945512820512864,0.34090776043999144,0.26379794200187084,0.9227531567219611,0.6214407177082272,0.35,positive
Abdominal pain,Vomiting,0.19233333333333333,0.476,0.145,0.7538994800693241,1.5838224371204288,1.0,0.053449333333333335,2.1292112676056334,0.4563963169055176,0.2770700636942675,0.5303425192162673,0.5292606644044099,0.6,positive
Abnormal liver function tests,Diarrhea,0.055,0.7386666666666667,0.05433333333333333,0.9878787878787878,1.3373810305218246,1.0,0.013706666666666666,21.55999999999986,0.26695231603207065,0.07348963029756536,0.9536178107606677,0.530717372278744,0.55,positive
Allergic reaction,Diarrhea,0.13633333333333333,0.7386666666666667,0.12766666666666668,0.9364303178484108,1.267730574704527,1.0,0.02696177777777778,4.110974358974361,0.2445258894768293,0.17082961641391617,0.7567486652362658,0.5546321264332307,0.55,positive
Increased liver enzymes,Allergic reaction,0.109,0.13633333333333333,0.06266666666666666,0.5749235474006116,4.2170431349678115,1.0,0.047806333333333326,2.0317913669064747,0.8561919430713756,0.34306569343065685,0.5078234821311597,0.5172906245560515,0.8,positive
Allergic reaction,Rash,0.13633333333333333,0.227,0.09933333333333333,0.7286063569682151,3.2097196342212118,1.0,0.06838566666666666,2.8482612612612606,0.7971203883344256,0.37626262626262624,0.6489086118605628,0.5830990668835201,0.5,positive
Dizziness,Diarrhea,0.23466666666666666,0.7386666666666667,0.12633333333333333,0.5383522727272727,0.7288162536921562,1.0,-0.04700711111111111,0.566088205128205,-0.3271329242341763,0.1491538764266037,-0.766509160482375,0.35469057679684934,0.55,positive
Dryness in mouth,Diarrhea,0.08966666666666667,0.7386666666666667,0.052333333333333336,0.5836431226765799,0.7901305812408572,1.0,-0.013900444444444444,0.6276666666666666,-0.225872089349325,0.06743986254295532,-0.5932023366967607,0.32724574906392173,0.55,positive
Flatulence,Diarrhea,0.134,0.7386666666666667,0.12566666666666668,0.9378109452736318,1.2695996551538338,1.0,0.02668533333333334,4.20224,0.2452080053417953,0.16822846943328873,0.762031678342979,0.5539686495321228,0.55,positive
Headache,Diarrhea,0.3273333333333333,0.7386666666666667,0.21866666666666668,0.6680244399185337,0.9043652164962098,1.0,-0.023123555555555536,0.7872065439672802,-0.13585043605410194,0.25806451612903225,-0.27031464316887643,0.4820266603924798,0.55,positive
Heartburn,Diarrhea,0.057,0.7386666666666667,0.056,0.9824561403508771,1.3300399011970359,1.0,0.013895999999999999,14.895999999999953,0.2631419481896682,0.07570977917981073,0.9328678839957033,0.5291342073595541,0.55,positive
Increased liver enzymes,Diarrhea,0.109,0.7386666666666667,0.08,0.7339449541284404,0.9936077898850727,1.0,-0.0005146666666666633,0.9822528735632184,-0.007168591910262553,0.10421189752496743,-0.018067777569743444,0.42112410161295666,0.55,positive
Indigestion,Diarrhea,0.14133333333333334,0.7386666666666667,0.122,0.8632075471698113,1.1686022750493834,1.0,0.017601777777777772,1.910436781609195,0.16802430166649693,0.16094986807387862,0.47655949172121664,0.5141850010217287,0.55,positive
Loss of appetite,Diarrhea,0.09966666666666667,0.7386666666666667,0.07166666666666667,0.7190635451505017,0.9734614780918345,1.0,-0.0019537777777777765,0.9302222222222224,-0.029389987280607165,0.09347826086956522,-0.07501194457716179,0.40804260290016064,0.55,positive
Nausea,Diarrhea,0.7083333333333334,0.7386666666666667,0.5726666666666667,0.808470588235294,1.0944998938203438,1.0,0.0494444444444444,1.3644553644553639,0.29602527856311306,0.6549752192146396,0.2671068427370945,0.7918706731790188,0.55,positive
Diarrhea,Nausea,0.7386666666666667,0.7083333333333334,0.5726666666666667,0.7752707581227436,1.0944998938203438,1.0,0.0494444444444444,1.2978580990629176,0.3303853555391887,0.6549752192146396,0.2294997421351208,0.7918706731790188,0.35,positive
Rash,Diarrhea,0.227,0.7386666666666667,0.20966666666666667,0.9236417033773862,1.2504174684711906,1.0,0.04198933333333332,3.4224615384615364,0.2590777368952545,0.27733686067019403,0.707812640474692,0.6037432343601732,0.55,positive
Stomach pain,Diarrhea,0.24833333333333332,0.7386666666666667,0.21866666666666668,0.8805369127516779,1.1920626075158094,1.0,0.03523111111111113,2.1875655430711616,0.2143475204153373,0.28459869848156183,0.5428708396110123,0.5882828968090519,0.55,positive
Vomiting,Diarrhea,0.476,0.7386666666666667,0.395,0.8298319327731093,1.1234186815520433,1.0,0.04339466666666669,1.5357366255144036,0.20965632750346258,0.48190321268808467,0.3488466815297549,0.682289612595941,0.55,positive
Diarrhea,Vomiting,0.7386666666666667,0.476,0.395,0.5347472924187726,1.1234186815520433,1.0,0.04339466666666669,1.1262696411251214,0.4203823301472491,0.48190321268808467,0.11211315347094014,0.682289612595941,0.6,positive
Flatulence,Dizziness,0.134,0.23466666666666666,0.07033333333333333,0.5248756218905473,2.2366858887381276,1.0,0.038888,1.6108062827225131,0.638464148506507,0.23575418994413408,0.37919288574548854,0.41229576549072816,0.35,positive
Dizziness,Headache,0.23466666666666666,0.3273333333333333,0.176,0.75,2.2912423625254585,1.0,0.09918577777777778,2.690666666666667,0.7363530778164925,0.45595854922279794,0.6283448959365708,0.6438391038696538,0.3,positive
Headache,Dizziness,0.3273333333333333,0.23466666666666666,0.176,0.5376782077393075,2.291242362525458,1.0,0.09918577777777778,1.6554126284875184,0.8377931945820943,0.45595854922279794,0.3959210031436945,0.6438391038696538,0.35,positive
Dizziness,Nausea,0.23466666666666666,0.7083333333333334,0.16166666666666665,0.6889204545454545,0.9725935828877004,1.0,-0.004555555555555563,0.9375951293759509,-0.03551136363636369,0.20691126279863475,-0.06655844155844194,0.45857787433155073,0.35,positive
Dizziness,Vomiting,0.23466666666666666,0.476,0.11833333333333333,0.5042613636363636,1.0593726126814362,1.0,0.006631999999999999,1.0570085959885387,0.0732296216322324,0.19977490151941474,0.05393390006939631,0.376430401706137,0.6,positive
Dryness in mouth,Headache,0.08966666666666667,0.3273333333333333,0.065,0.724907063197026,2.214583696121261,1.0,0.03564911111111112,2.4452342342342344,0.6024692748969571,0.18465909090909094,0.5910412237815055,0.46174070064128286,0.3,positive
Flatulence,Headache,0.134,0.3273333333333333,0.095,0.708955223880597,2.1658509894519256,1.0,0.05113733333333333,2.311213675213675,0.6215793525383899,0.259326660600546,0.5673268937769033,0.4995896282335775,0.3,positive
Flatulence,Nausea,0.134,0.7083333333333334,0.10033333333333333,0.7487562189054726,1.0570676031606672,1.0,0.005416666666666653,1.1608910891089106,0.06234031289082565,0.13522012578616352,0.13859275053304884,0.44520163886450104,0.35,positive
Flatulence,Stomach pain,0.134,0.24833333333333332,0.104,0.7761194029850745,3.1253130321546627,1.0,0.07072333333333333,3.357444444444443,0.7852564102564104,0.37365269461077844,0.7021544163881258,0.5974556746468997,0.55,positive
Headache,Nausea,0.3273333333333333,0.7083333333333334,0.24733333333333332,0.7556008146639511,1.0667305618785192,1.0,0.01547222222222222,1.1934027777777776,0.09299725649745283,0.3137420718816067,0.16205993599068946,0.5523886426260932,0.35,positive
Heartburn,Loss of appetite,0.057,0.09966666666666667,0.05,0.8771929824561404,8.801267382503081,1.0,0.044319000000000004,7.331285714285718,0.9399575821845176,0.46875,0.8635982774411037,0.689432611629408,0.35,positive
Loss of appetite,Heartburn,0.09966666666666667,0.057,0.05,0.5016722408026756,8.801267382503081,1.0,0.044319000000000004,1.8923288590604026,0.9845020362828583,0.46875,0.471550626513972,0.689432611629408,0.28,positive
Heartburn,Nausea,0.057,0.7083333333333334,0.057,1.0,1.4117647058823528,1.0,0.016625,inf,0.30929657122658183,0.08047058823529411,1.0,0.540235294117647,0.35,positive
Heartburn,Vomiting,0.057,0.476,0.055,0.9649122807017544,2.0271266401297363,1.0,0.027868,14.934000000000001,0.5373180372119928,0.11506276150627615,0.9330387036293023,0.5402292495945746,0.6,positive
Increased liver enzymes,Nausea,0.109,0.7083333333333334,0.056666666666666664,0.5198776758409785,0.7339449541284403,1.0,-0.020541666666666673,0.6074840764331209,-0.28919026725169533,0.07449605609114811,-0.6461336828309309,0.29993883792048925,0.35,positive
Increased liver enzymes,Rash,0.109,0.227,0.059333333333333335,0.5443425076452599,2.3979846151773563,1.0,0.034590333333333334,1.6964496644295302,0.6543020719050682,0.21445783132530122,0.4105336450779559,0.4028614153497959,0.5,positive
Indigestion,Nausea,0.14133333333333334,0.7083333333333334,0.14033333333333334,0.9929245283018868,1.4017758046614872,1.0,0.040222222222222215,41.222222222222385,0.33379560643838235,0.19783834586466165,0.9757412398921834,0.5955210876803552,0.35,positive
Indigestion,Stomach pain,0.14133333333333334,0.24833333333333332,0.10933333333333334,0.7735849056603774,3.1151070026592382,1.0,0.07423555555555555,3.319861111111112,0.7907419330404484,0.39001189060642094,0.6987825795925199,0.6069266810181082,0.55,positive
Loss of appetite,Nausea,0.09966666666666667,0.7083333333333334,0.09033333333333333,0.9063545150501673,1.279559315364942,1.0,0.019736111111111107,3.114583333333335,0.24266671767050874,0.12587087784486764,0.6789297658862878,0.5169419634074366,0.35,positive
Loss of appetite,Vomiting,0.09966666666666667,0.476,0.08366666666666667,0.8394648829431438,1.7635816868553442,1.0,0.03622533333333334,3.2640833333333332,0.4809020120923194,0.17005420054200543,0.6936352727922592,0.5076175955331965,0.6,positive
Rash,Nausea,0.227,0.7083333333333334,0.123,0.5418502202643172,0.7649650168437419,1.0,-0.037791666666666696,0.6366185897435896,-0.2844244528513945,0.15141567501025852,-0.5707992448080557,0.3577486395439233,0.35,positive
Sleepiness,Nausea,0.082,0.7083333333333334,0.057,0.6951219512195121,0.9813486370157818,1.0,-0.001083333333333339,0.9566666666666664,-0.02028359587587698,0.07772727272727274,-0.04529616724738706,0.3877962697274031,0.35,positive
Stomach pain,Nausea,0.24833333333333332,0.7083333333333334,0.212,0.8536912751677852,1.205211212001579,1.0,0.036097222222222225,1.993501529051987,0.22652317003444478,0.2846911369740376,0.4983700862895492,0.576492696407422,0.35,positive
Nausea,Vomiting,0.7083333333333334,0.476,0.471,0.6649411764705881,1.3969352446861096,1.0,0.1338333333333333,1.5639044943820222,0.9742189869578405,0.6602803738317755,0.36057476425684765,0.827218487394958,0.6,positive
Vomiting,Nausea,0.476,0.7083333333333334,0.471,0.9894957983193278,1.3969352446861096,1.0,0.1338333333333333,27.76666666666676,0.5422656574987978,0.6602803738317755,0.9639855942376953,0.827218487394958,0.35,positive
Stomach pain,Vomiting,0.24833333333333332,0.476,0.12533333333333332,0.5046979865771812,1.0602898877671876,1.0,0.00712666666666667,1.057940379403794,0.07564749728735203,0.20923761825264328,0.05476714995645278,0.38400165435301636,0.6,positive
"Abdominal pain, Nausea",Diarrhea,0.188,0.7386666666666667,0.174,0.925531914893617,1.2529764190798063,1.0,0.03513066666666664,3.5093333333333305,0.24864579204650533,0.23117803365810446,0.715045592705167,0.5805457408403103,0.55,positive
"Abdominal pain, Diarrhea",Nausea,0.17733333333333334,0.7083333333333334,0.174,0.9812030075187969,1.3852277753206543,1.0,0.04838888888888887,15.51666666666655,0.33804343101274853,0.24449648711943792,0.9355531686358749,0.6134250331711631,0.35,positive
Abdominal pain,"Diarrhea, Nausea",0.19233333333333333,0.5726666666666667,0.174,0.9046793760831888,1.5797660816353705,1.0,0.0638571111111111,4.483115151515148,0.45438905255035156,0.29441624365482233,0.7769408176673686,0.6042605262255292,0.55,positive
"Abdominal pain, Vomiting",Diarrhea,0.145,0.7386666666666667,0.137,0.9448275862068967,1.27909871778912,1.0,0.02989333333333334,4.736666666666676,0.25520410921870784,0.18348214285714287,0.7888810696692474,0.5651484501431595,0.55,positive
"Abdominal pain, Diarrhea",Vomiting,0.17733333333333334,0.476,0.137,0.7725563909774437,1.6230176281038733,1.0,0.05258933333333335,2.303867768595042,0.46660909273740386,0.26533247256294384,0.5659473110256559,0.5301857585139319,0.6,positive
Abdominal pain,"Diarrhea, Vomiting",0.19233333333333333,0.395,0.137,0.7123050259965339,1.8033038632823641,1.0,0.06102833333333334,2.1029216867469884,0.5515422456928885,0.30421909696521093,0.5244711173496428,0.5295702345172543,0.6,positive
"Abdominal pain, Nausea",Vomiting,0.188,0.476,0.14366666666666666,0.7641843971631206,1.6054294058048753,1.0,0.05417866666666667,2.222075187969925,0.4644257254866104,0.27610506085842407,0.5499702235937416,0.5330025627272186,0.6,positive
"Abdominal pain, Vomiting",Nausea,0.145,0.7083333333333334,0.14366666666666666,0.9908045977011495,1.3987829614604463,1.0,0.04095833333333333,31.71875000000019,0.33344188002876485,0.20244246124941287,0.9684729064039411,0.596814063556457,0.35,positive
Abdominal pain,"Nausea, Vomiting",0.19233333333333333,0.471,0.14366666666666666,0.7469670710571924,1.5859173483167568,1.0,0.053077666666666676,2.0906369863013703,0.45742895089882063,0.2764592687620269,0.5216768829058458,0.5259959205250576,0.6,positive
"Diarrhea, Increased liver enzymes",Allergic reaction,0.08,0.13633333333333333,0.06233333333333333,0.7791666666666667,5.715158924205379,1.0,0.05142666666666666,3.9109433962264153,0.8967681934433852,0.40476190476190477,0.7443072172906214,0.6181896903015485,0.8,positive
"Allergic reaction, Increased liver enzymes",Diarrhea,0.06266666666666666,0.7386666666666667,0.06233333333333333,0.9946808510638299,1.346589599815654,1.0,0.016043555555555554,49.13066666666736,0.27459094332159345,0.08434821831303563,0.979646113764655,0.5395335663261388,0.55,positive
Increased liver enzymes,"Allergic reaction, Diarrhea",0.109,0.12766666666666668,0.06233333333333333,0.5718654434250764,4.4793637866193965,1.0,0.048417666666666664,2.037521428571428,0.8717777897813548,0.3575525812619502,0.5092076156955404,0.5300580480832954,0.8,positive
"Allergic reaction, Nausea",Diarrhea,0.058666666666666666,0.7386666666666667,0.05266666666666667,0.8977272727272727,1.2153347554972103,1.0,0.009331555555555558,2.5552592592592585,0.18822390361100158,0.07072515666965085,0.6086502782931353,0.4845134558582212,0.55,positive
"Allergic reaction, Diarrhea",Rash,0.12766666666666668,0.227,0.09866666666666667,0.7728459530026109,3.4046077224784623,1.0,0.06968633333333332,3.4029770114942526,0.8096450959939687,0.3854166666666667,0.7061396545958745,0.603750436119514,0.5,positive
"Allergic reaction, Rash",Diarrhea,0.09933333333333333,0.7386666666666667,0.09866666666666667,0.9932885906040269,1.3447047706733215,1.0,0.02529244444444445,38.93866666666672,0.28461399963990647,0.13345356176735798,0.9743185864950007,0.5634312989121217,0.55,positive
Allergic reaction,"Diarrhea, Rash",0.13633333333333333,0.20966666666666667,0.09866666666666667,0.7237163814180929,3.451747447145117,1.0,0.07008211111111111,2.8605870206489676,0.8224141258201466,0.3989218328840971,0.650421402047355,0.5971523083561052,0.55,positive
"Allergic reaction, Increased liver enzymes",Rash,0.06266666666666666,0.227,0.050333333333333334,0.8031914893617021,3.538288499390758,1.0,0.036108,3.927675675675676,0.7653387092215952,0.21030640668523676,0.7453964933527841,0.5124621176617615,0.5,positive
"Increased liver enzymes, Rash",Allergic reaction,0.059333333333333335,0.13633333333333333,0.050333333333333334,0.848314606741573,6.222356528666794,1.0,0.042244222222222225,5.693802469135801,0.8922280473667166,0.34633027522935783,0.8243704439308063,0.6087538803879013,0.8,positive
"Allergic reaction, Rash",Increased liver enzymes,0.09933333333333333,0.109,0.050333333333333334,0.5067114093959731,4.648728526568561,1.0,0.039506,1.8062448979591836,0.8714516105313209,0.3185654008438819,0.44636521817729874,0.48424255485089174,0.78,positive
"Allergic reaction, Nausea",Vomiting,0.058666666666666666,0.476,0.054,0.9204545454545454,1.9337280366692131,1.0,0.026074666666666666,6.5874285714285685,0.5129577169237226,0.11234396671289876,0.8481956974323386,0.516949961802903,0.6,positive
"Allergic reaction, Vomiting",Nausea,0.05433333333333333,0.7083333333333334,0.054,0.9938650306748467,1.4031035727174306,1.0,0.01551388888888889,47.541666666666934,0.3038007458757077,0.0761994355597366,0.9789658194566171,0.5350501623962468,0.35,positive
"Dizziness, Flatulence",Diarrhea,0.07033333333333333,0.7386666666666667,0.06266666666666666,0.8909952606635071,1.2062210207538453,1.0,0.010713777777777773,2.397449275362318,0.1838987511729209,0.08396605627512281,0.5828900280491343,0.48791640289493043,0.55,positive
"Diarrhea, Dizziness",Headache,0.12633333333333333,0.3273333333333333,0.11566666666666667,0.9155672823218998,2.797048723997657,1.0,0.07431355555555556,7.9668958333333375,0.7353837932812674,0.3422090729783038,0.8744805980999499,0.6344638855601352,0.3,positive
"Dizziness, Headache",Diarrhea,0.176,0.7386666666666667,0.11566666666666667,0.6571969696969697,0.8897070889399409,1.0,-0.014338666666666666,0.7623425414364641,-0.13076997908458582,0.14476428869420108,-0.3117462894248609,0.40689270867519967,0.55,positive
"Diarrhea, Headache",Dizziness,0.21866666666666668,0.23466666666666666,0.11566666666666667,0.5289634146341463,2.2541054600886916,1.0,0.06435288888888889,1.6247853290183385,0.7120712887647412,0.3425468904244817,0.38453407835472075,0.5109305709534369,0.35,positive
"Diarrhea, Dizziness",Nausea,0.12633333333333333,0.7083333333333334,0.09933333333333333,0.7862796833773087,1.1100419059444357,1.0,0.009847222222222216,1.3647119341563783,0.11346788586763075,0.13508612873980053,0.2672446287222011,0.46325748874747785,0.35,positive
"Dizziness, Nausea",Diarrhea,0.16166666666666665,0.7386666666666667,0.09933333333333333,0.6144329896907217,0.8318136142022405,1.0,-0.020084444444444446,0.677789661319073,-0.19431753437321958,0.12401165210153975,-0.4753839680201978,0.3744547619933753,0.55,positive
"Diarrhea, Dizziness",Stomach pain,0.12633333333333333,0.24833333333333332,0.06966666666666667,0.5514511873350924,2.2206088080607747,1.0,0.03829388888888889,1.6757745098039216,0.6291564817840446,0.2284153005464481,0.40326100310655305,0.4159940500433851,0.55,positive
"Dizziness, Stomach pain",Diarrhea,0.083,0.7386666666666667,0.06966666666666667,0.8393574297188755,1.1363142099082248,1.0,0.008357333333333328,1.6267999999999998,0.13081976280047786,0.09264184397163121,0.38529628718957454,0.4668357545706291,0.55,positive
"Diarrhea, Dizziness",Vomiting,0.12633333333333333,0.476,0.07366666666666667,0.5831134564643801,1.2250282698831514,1.0,0.01353200000000001,1.25693670886076,0.21025445367299633,0.13934426229508198,0.20441499325263374,0.3689376806131424,0.6,positive
"Dizziness, Vomiting",Diarrhea,0.11833333333333333,0.7386666666666667,0.07366666666666667,0.6225352112676057,0.8427823257232929,1.0,-0.013742222222222225,0.6923383084577115,-0.17463376751738505,0.09404255319148937,-0.44438056912906,0.361132226572431,0.55,positive
"Diarrhea, Flatulence",Headache,0.12566666666666668,0.3273333333333333,0.08666666666666667,0.689655172413793,2.106889528759042,1.0,0.04553177777777778,2.1674814814814813,0.600876858558902,0.23657870791628757,0.538635043231605,0.47721047826392304,0.3,positive
"Flatulence, Headache",Diarrhea,0.095,0.7386666666666667,0.08666666666666667,0.912280701754386,1.2350370511115334,1.0,0.016493333333333332,2.979200000000002,0.21028474288142793,0.11601963409192326,0.6643394199785179,0.5148046108049908,0.55,positive
Flatulence,"Diarrhea, Headache",0.134,0.21866666666666668,0.08666666666666667,0.6467661691542288,2.9577721150345826,1.0,0.05736533333333334,2.2119436619718305,0.7643275892698526,0.3258145363408521,0.5479089195659925,0.5215538162844315,0.55,positive
"Flatulence, Nausea",Diarrhea,0.10033333333333333,0.7386666666666667,0.092,0.9169435215946844,1.2413495328447892,1.0,0.017887111111111104,3.1464533333333335,0.21610795195214536,0.12315930388219545,0.6821818428368025,0.5207461290283891,0.55,positive
