antecedent,consequent,sup_ant,sup_cons,sup_joint,neg_conf,reg_ant,reg_cons,weight_ant,weight_cons,severity_proxy
Heartburn,Rash,0.057,0.227,0.0,1.0,120,30,0.28,0.5,1.0
Loss of appetite,Abnormal liver function tests,0.09966666666666667,0.055,0.0,1.0,53,104,0.35,0.4,1.0
Rash,Heartburn,0.227,0.057,0.0,1.0,30,120,0.5,0.28,1.0
Abnormal liver function tests,Loss of appetite,0.055,0.09966666666666667,0.0,1.0,104,53,0.4,0.35,1.0
Abnormal liver function tests,Dizziness,0.055,0.23466666666666666,0.0,1.0,104,52,0.4,0.35,1.0
Abnormal liver function tests,Dryness in mouth,0.055,0.08966666666666667,0.0,1.0,104,65,0.4,0.2,1.0
Dryness in mouth,Abnormal liver function tests,0.08966666666666667,0.055,0.0,1.0,65,104,0.2,0.4,1.0
Heartburn,Allergic reaction,0.057,0.13633333333333333,0.0,1.0,120,57,0.28,0.8,1.0
Flatulence,Abnormal liver function tests,0.134,0.055,0.0,1.0,43,104,0.18,0.4,1.0
Insomnia (difficulty in sleeping),Abnormal liver function tests,0.051666666666666666,0.055,0.0,1.0,87,104,0.4,0.4,1.0
Abnormal liver function tests,Fatigue,0.055,0.056666666666666664,0.0,1.0,104,171,0.4,0.32,1.0
Abnormal liver function tests,Flatulence,0.055,0.134,0.0,1.0,104,43,0.4,0.18,1.0
Fatigue,Abnormal liver function tests,0.056666666666666664,0.055,0.0,1.0,171,104,0.32,0.4,1.0
Abnormal liver function tests,Insomnia (difficulty in sleeping),0.055,0.051666666666666666,0.0,1.0,104,87,0.4,0.4,1.0
Abnormal liver function tests,Stomach pain,0.055,0.24833333333333332,0.0,1.0,104,24,0.4,0.55,1.0
Sleepiness,Abnormal liver function tests,0.082,0.055,0.0,1.0,59,104,0.4,0.4,1.0
Abnormal liver function tests,Sleepiness,0.055,0.082,0.0,1.0,104,59,0.4,0.4,1.0
Allergic reaction,Heartburn,0.13633333333333333,0.057,0.0,1.0,57,120,0.8,0.28,1.0
Stomach pain,Abnormal liver function tests,0.24833333333333332,0.055,0.0,1.0,24,104,0.55,0.4,1.0
Itching,Allergic reaction,0.051666666666666666,0.13633333333333333,0.0,1.0,109,57,0.28,0.8,1.0
Allergic reaction,Itching,0.13633333333333333,0.051666666666666666,0.0,1.0,57,109,0.8,0.28,1.0
Heartburn,Abnormal liver function tests,0.057,0.055,0.0,1.0,120,104,0.28,0.4,1.0
Dizziness,Abnormal liver function tests,0.23466666666666666,0.055,0.0,1.0,52,104,0.35,0.4,1.0
Abnormal liver function tests,Heartburn,0.055,0.057,0.0,1.0,104,120,0.4,0.28,1.0
Abdominal pain,Allergic reaction,0.19233333333333333,0.13633333333333333,0.0003333333333333333,0.9982668977469671,29,57,0.55,0.8,0.9982668977469671
Headache,Abnormal liver function tests,0.3273333333333333,0.055,0.0006666666666666666,0.9979633401221997,26,104,0.3,0.4,0.9979633401221997
Vomiting,Abnormal liver function tests,0.476,0.055,0.001,0.9978991596638656,10,104,0.6,0.4,0.9978991596638656
Indigestion,Allergic reaction,0.14133333333333334,0.13633333333333333,0.0003333333333333333,0.9976415094339623,63,57,0.26,0.8,0.9976415094339623
Allergic reaction,Abdominal pain,0.13633333333333333,0.19233333333333333,0.0003333333333333333,0.9975550122249389,57,29,0.8,0.55,0.9975550122249389
Allergic reaction,Indigestion,0.13633333333333333,0.14133333333333334,0.0003333333333333333,0.9975550122249389,57,63,0.8,0.26,0.9975550122249389
Stomach pain,Itching,0.24833333333333332,0.051666666666666666,0.0006666666666666666,0.9973154362416107,24,109,0.55,0.28,0.9973154362416107
Stomach pain,Insomnia (difficulty in sleeping),0.24833333333333332,0.051666666666666666,0.001,0.9959731543624161,24,87,0.55,0.4,0.9959731543624161
Rash,Loss of appetite,0.227,0.09966666666666667,0.001,0.9955947136563876,30,53,0.5,0.35,0.9955947136563876
Flatulence,Fatigue,0.134,0.056666666666666664,0.0006666666666666666,0.9950248756218905,43,171,0.18,0.32,0.9950248756218905
Heartburn,Itching,0.057,0.051666666666666666,0.0003333333333333333,0.9941520467836258,120,109,0.28,0.28,0.9941520467836258
Itching,Heartburn,0.051666666666666666,0.057,0.0003333333333333333,0.9935483870967742,109,120,0.28,0.28,0.9935483870967742
Headache,Heartburn,0.3273333333333333,0.057,0.0023333333333333335,0.9928716904276985,26,120,0.3,0.28,0.9928716904276985
Allergic reaction,Loss of appetite,0.13633333333333333,0.09966666666666667,0.001,0.9926650366748166,57,53,0.8,0.35,0.9926650366748166
Nausea,Abnormal liver function tests,0.7083333333333334,0.055,0.005666666666666667,0.992,8,104,0.35,0.4,0.992
Constipation,Abnormal liver function tests,0.074,0.055,0.0006666666666666666,0.9909909909909911,64,104,0.32,0.4,0.9909909909909911
Increased liver enzymes,Abnormal liver function tests,0.109,0.055,0.001,0.9908256880733944,56,104,0.78,0.4,0.9908256880733944
Indigestion,Sleepiness,0.14133333333333334,0.082,0.0013333333333333333,0.9905660377358491,63,59,0.26,0.4,0.9905660377358491
Loss of appetite,Rash,0.09966666666666667,0.227,0.001,0.9899665551839465,53,30,0.35,0.5,0.9899665551839465
Loss of appetite,Allergic reaction,0.09966666666666667,0.13633333333333333,0.001,0.9899665551839465,53,57,0.35,0.8,0.9899665551839465
Abdominal pain,Insomnia (difficulty in sleeping),0.19233333333333333,0.051666666666666666,0.002,0.9896013864818024,29,87,0.55,0.4,0.9896013864818024
Dizziness,Heartburn,0.23466666666666666,0.057,0.0026666666666666666,0.9886363636363635,52,120,0.35,0.28,0.9886363636363635
Heartburn,Fatigue,0.057,0.056666666666666664,0.0006666666666666666,0.9883040935672515,120,171,0.28,0.32,0.9883040935672515
Fatigue,Heartburn,0.056666666666666664,0.057,0.0006666666666666666,0.988235294117647,171,120,0.32,0.28,0.988235294117647
Fatigue,Flatulence,0.056666666666666664,0.134,0.0006666666666666666,0.988235294117647,171,43,0.32,0.18,0.988235294117647
Indigestion,Fatigue,0.14133333333333334,0.056666666666666664,0.0016666666666666668,0.9882075471698113,63,171,0.26,0.32,0.9882075471698113
Stomach pain,Fatigue,0.24833333333333332,0.056666666666666664,0.003,0.9879194630872483,24,171,0.55,0.32,0.9879194630872483
Abnormal liver function tests,Constipation,0.055,0.074,0.0006666666666666666,0.9878787878787878,104,64,0.4,0.32,0.9878787878787878
Abnormal liver function tests,Headache,0.055,0.3273333333333333,0.0006666666666666666,0.9878787878787878,104,26,0.4,0.3,0.9878787878787878
Flatulence,Heartburn,0.134,0.057,0.0016666666666666668,0.9875621890547263,43,120,0.18,0.28,0.9875621890547263
Flatulence,Insomnia (difficulty in sleeping),0.134,0.051666666666666666,0.0016666666666666668,0.9875621890547263,43,87,0.18,0.4,0.9875621890547263
Itching,Stomach pain,0.051666666666666666,0.24833333333333332,0.0006666666666666666,0.9870967741935484,109,24,0.28,0.55,0.9870967741935484
Loss of appetite,Constipation,0.09966666666666667,0.074,0.0013333333333333333,0.9866220735785952,53,64,0.35,0.32,0.9866220735785952
Abdominal pain,Fatigue,0.19233333333333333,0.056666666666666664,0.0026666666666666666,0.9861351819757365,29,171,0.55,0.32,0.9861351819757365
Sleepiness,Indigestion,0.082,0.14133333333333334,0.0013333333333333333,0.9837398373983739,59,63,0.4,0.26,0.9837398373983739
Abdominal pain,Sleepiness,0.19233333333333333,0.082,0.0033333333333333335,0.9826689774696707,29,59,0.55,0.4,0.9826689774696707
Flatulence,Increased liver enzymes,0.134,0.109,0.0023333333333333335,0.9825870646766169,43,56,0.18,0.78,0.9825870646766169
Constipation,Loss of appetite,0.074,0.09966666666666667,0.0013333333333333333,0.9819819819819819,64,53,0.32,0.35,0.9819819819819819
Abnormal liver function tests,Itching,0.055,0.051666666666666666,0.001,0.9818181818181818,104,109,0.4,0.28,0.9818181818181818
