antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,wsup_ant,wsup_cons,weight_cons,wconf,rule_type
Abdominal pain,Diarrhea,0.2115878254492116,0.8122478914558122,0.19508617528419508,0.9220103986135182,1.1351342469612027,1.0,0.023224410205352514,2.407399258444363,0.15099580346214367,0.23539823008849556,0.5846139785528597,0.5810954927604837,0.10578333333333334,0.40608333333333335,0.55,0.5071057192374351,positive (weighted)
Abdominal pain,Nausea,0.2115878254492116,0.7557755775577558,0.2068206820682068,0.9774696707105719,1.2933332324249052,1.0,0.0469077710851393,10.839807057628823,0.2876719445818901,0.27193828351012533,0.9077474354770714,0.6255616184702787,0.10578333333333334,0.24045,0.35,0.34211438474870015,positive (weighted)
Abdominal pain,Vomiting,0.2115878254492116,0.5236523652365237,0.15951595159515952,0.7538994800693241,1.4396945953424696,1.0,0.04871748634342715,1.9355815863276464,0.38737129109863666,0.2770700636942675,0.48335941658895043,0.5292606644044099,0.10578333333333334,0.28559999999999997,0.6,0.4523396880415944,positive (weighted)
Abnormal liver function tests,Diarrhea,0.06050605060506051,0.8122478914558122,0.05977264393105977,0.9878787878787878,1.2162281961830494,1.0,0.0106267319067807,15.489548954895392,0.189235786842143,0.07352277852954442,0.9354403409090905,0.5307339763321705,0.022000000000000002,0.40608333333333335,0.55,0.5433333333333333,positive (weighted)
Abnormal liver function tests,Rash,0.06050605060506051,0.24972497249724973,0.03777044371103777,0.6242424242424243,2.4997196635963155,1.0,0.022660571887771836,1.996699669966997,0.638593938291535,0.13862718707940783,0.49917355371900823,0.3877452943532239,0.022000000000000002,0.1135,0.5,0.31212121212121213,positive (weighted)
Allergic reaction,Diarrhea,0.14998166483314998,0.8122478914558122,0.14044737807114044,0.9364303178484107,1.152887348430075,1.0,0.01862508705338202,2.953485092098951,0.15601141706296726,0.17090584560464075,0.6614169468215155,0.5546711408655146,0.10906666666666667,0.40608333333333335,0.55,0.515036674816626,positive (weighted)
Increased liver enzymes,Allergic reaction,0.11807847451411808,0.14998166483314998,0.06894022735606894,0.5838509316770186,3.8928153806435937,1.0,0.051230621167482844,2.042581372565117,0.8426106958021852,0.3462246777163904,0.5104234213473813,0.5217543166942551,0.08372,0.10906666666666667,0.8,0.4670807453416149,positive (weighted)
Allergic reaction,Rash,0.14998166483314998,0.24972497249724973,0.10927759442610928,0.7286063569682152,2.917635147507082,1.0,0.07182342730055917,2.764526903140765,0.7732264565032342,0.3762626262626263,0.6382744552552897,0.5830990668835202,0.10906666666666667,0.1135,0.5,0.3643031784841076,positive (weighted)
Constipation,Diarrhea,0.08104143747708104,0.8122478914558122,0.04913824715804914,0.6063348416289593,0.7464898930574141,1.0,-0.016687489553257967,0.47693351710650006,-0.2698341599605131,0.0582102519548219,-1.0967282946832573,0.33341572781222234,0.023573333333333335,0.40608333333333335,0.55,0.33348416289592764,positive (weighted)
Constipation,Headache,0.08104143747708104,0.3564356435643564,0.04583791712504584,0.5656108597285069,1.5868526897938666,1.0,0.016951860202521908,1.4815387788778882,0.40243575418994426,0.11704119850187267,0.325026105116603,0.3471058413868872,0.023573333333333335,0.0972,0.3,0.16968325791855207,positive (weighted)
Constipation,Nausea,0.08104143747708104,0.7557755775577558,0.04950495049504951,0.6108597285067874,0.8082554486356182,1.0,-0.011744188720302168,0.6275999692992554,-0.20518459001141787,0.06287843502561714,-0.5933716521951817,0.3381809559564505,0.023573333333333335,0.24045,0.35,0.21380090497737558,positive (weighted)
Dizziness,Diarrhea,0.2511917858452512,0.8122478914558122,0.138980564723139,0.5532846715328468,0.6811771102799428,1.0,-0.06504943368068625,0.42029475278682565,-0.38463654723852236,0.1503371677905593,-1.379282618613138,0.3621953831704866,0.07991666666666666,0.40608333333333335,0.55,0.30430656934306577,positive (weighted)
Flatulence,Diarrhea,0.1474147414741474,0.8122478914558122,0.13824715804913826,0.937810945273632,1.1545871095987335,1.0,0.018509845117258353,3.019053905390545,0.15703944553777716,0.16830357142857147,0.6687704057835827,0.5540070527722561,0.02412,0.40608333333333335,0.55,0.5157960199004976,positive (weighted)
Headache,Diarrhea,0.3564356435643564,0.8122478914558122,0.24055738907224056,0.6748971193415638,0.8309004263857538,1.0,-0.04895671085260339,0.577515979446046,-0.24025372389708494,0.25918609245357566,-0.731553819444444,0.48552982377913406,0.0972,0.40608333333333335,0.55,0.3711934156378601,positive (weighted)
Increased liver enzymes,Diarrhea,0.11807847451411808,0.8122478914558122,0.08800880088008801,0.7453416149068323,0.91762825456024,1.0,-0.007900191070323262,0.7372704750149812,-0.09238147653117379,0.1044841097083152,-0.35635432841614906,0.42684687968817914,0.08372,0.40608333333333335,0.55,0.40993788819875776,positive (weighted)
Indigestion,Diarrhea,0.15548221488815547,0.8122478914558122,0.1342134213421342,0.8632075471698113,1.0627390434004855,1.0,0.007923320140350437,1.372532655564407,0.06990406905699159,0.16102067751869775,0.2714198850235849,0.5142222837429192,0.03674666666666667,0.40608333333333335,0.55,0.47476415094339625,positive (weighted)
Insomnia (difficulty in sleeping),Diarrhea,0.05683901723505684,0.8122478914558122,0.03226989365603227,0.567741935483871,0.6989761887424453,1.0,-0.01389747824556322,0.43435189290073295,-0.3134780168949149,0.0385626643295355,-1.3022807459677415,0.3037355275613486,0.020666666666666667,0.40608333333333335,0.55,0.3122580645161291,positive (weighted)
Loss of appetite,Diarrhea,0.1078107810781078,0.8122478914558122,0.07884121745507884,0.7312925170068028,0.900331690238172,1.0,-0.008727862151818408,0.6987230368606483,-0.1103826530612245,0.0937227550130776,-0.43118223852040777,0.41417898988037655,0.0343,0.40608333333333335,0.55,0.4022108843537415,positive (weighted)
Diarrhea,Nausea,0.8122478914558122,0.7557755775577558,0.62999633296663,0.7756207674943567,1.026258046073319,1.0,0.01611921368154423,1.0884448605826378,0.13627651156868498,0.671618451915559,0.08125800744310907,0.804598350753486,0.40608333333333335,0.24045,0.35,0.27146726862302484,positive (weighted)
Nausea,Diarrhea,0.7557755775577558,0.8122478914558122,0.62999633296663,0.8335759340126152,1.026258046073319,1.0,0.01611921368154423,1.1281547979870874,0.10476512601076086,0.671618451915559,0.11359682041484713,0.804598350753486,0.24045,0.40608333333333335,0.55,0.4584667637069384,positive (weighted)
Rash,Diarrhea,0.24972497249724973,0.8122478914558122,0.23065639897323065,0.9236417033773862,1.1371426298465608,1.0,0.027817816618478847,2.458830498434458,0.160744840061728,0.2774591971768858,0.5933025881057268,0.6038073076706344,0.1135,0.40608333333333335,0.55,0.5080029368575625,positive (weighted)
Stomach pain,Diarrhea,0.2731939860652732,0.8122478914558122,0.24055738907224056,0.8805369127516779,1.0840741133516143,1.0,0.018656149932313876,1.5716328187125836,0.10670500972164125,0.2847222222222222,0.36371906459731573,0.5883497204841911,0.13658333333333333,0.40608333333333335,0.55,0.48429530201342286,positive (weighted)
Diarrhea,Vomiting,0.8122478914558122,0.5236523652365237,0.43454345434543457,0.5349887133182845,1.0216486142989927,1.0,0.00920792482621935,1.0243786514573787,0.11286095727848124,0.48209926769731487,0.02379847668896197,0.6824103230456968,0.40608333333333335,0.28559999999999997,0.6,0.3209932279909707,positive (weighted)
Vomiting,Diarrhea,0.5236523652365237,0.8122478914558122,0.43454345434543457,0.8298319327731092,1.0216486142989927,1.0,0.00920792482621935,1.10333337860535,0.04448407246080247,0.48209926769731487,0.09365562631302501,0.6824103230456968,0.28559999999999997,0.40608333333333335,0.55,0.4564075630252101,positive (weighted)
Weakness,Diarrhea,0.053171983865053174,0.8122478914558122,0.03263659699303264,0.6137931034482759,0.7556721413559586,1.0,-0.010552234785879272,0.4861438524804862,-0.25455607097674116,0.03918978423601938,-1.0570043103448272,0.32698684517786253,0.02175,0.40608333333333335,0.55,0.3375862068965518,positive (weighted)
Flatulence,Dizziness,0.1474147414741474,0.2511917858452512,0.07737440410707737,0.5248756218905473,2.0895413443730253,1.0,0.040345031936270266,1.5760256653937643,0.6115823268613361,0.24086757990867577,0.36549256655020684,0.4164524094854196,0.02412,0.07991666666666666,0.35,0.18370646766169152,positive (weighted)
