antecedent,consequent,sup_ant,sup_cons,sup_joint,weight_ant,weight_cons,wsup_ant,reg_ant,reg_cons,maxRegW_ant,maxRegW_cons,wNegSup,wNegConf,severity
Abdominal pain,Allergic reaction,0.1923,0.1363,0.0003,0.55,0.8,0.1058,29,57,270.0,120.0,0.0845,0.7986,0.5391
Stomach pain,Allergic reaction,0.2483,0.1363,0.0127,0.55,0.8,0.1366,24,57,270.0,120.0,0.1037,0.7592,0.5125
Skin rash,Allergic reaction,0.0407,0.1363,0.0007,0.5,0.8,0.0203,123,57,300.0,120.0,0.016,0.7869,0.5115
Stomach pain,Increased liver enzymes,0.2483,0.109,0.0073,0.55,0.78,0.1366,24,56,270.0,132.0,0.1034,0.757,0.5034
Abdominal pain,Increased liver enzymes,0.1923,0.109,0.0067,0.55,0.78,0.1058,29,56,270.0,132.0,0.0797,0.753,0.5007
Weakness,Allergic reaction,0.0487,0.1363,0.0003,0.45,0.8,0.0219,83,57,330.0,120.0,0.0174,0.7945,0.4966
Vomiting,Allergic reaction,0.476,0.1363,0.0543,0.6,0.8,0.2856,10,57,240.0,120.0,0.2024,0.7087,0.4961
Vomiting,Increased liver enzymes,0.476,0.109,0.052,0.6,0.78,0.2856,10,56,240.0,132.0,0.1984,0.6948,0.4794
Skin rash,Increased liver enzymes,0.0407,0.109,0.0023,0.5,0.78,0.0203,123,56,300.0,132.0,0.0149,0.7352,0.4706
Diarrhea,Increased liver enzymes,0.7387,0.109,0.08,0.55,0.78,0.4063,7,56,270.0,132.0,0.2826,0.6955,0.4625
Loss of appetite,Allergic reaction,0.0997,0.1363,0.001,0.35,0.8,0.0349,53,57,390.0,120.0,0.0276,0.792,0.4554
Abnormal liver function tests,Increased liver enzymes,0.055,0.109,0.001,0.4,0.78,0.022,104,56,360.0,132.0,0.0168,0.7658,0.4518
Weakness,Increased liver enzymes,0.0487,0.109,0.003,0.45,0.78,0.0219,83,56,330.0,132.0,0.016,0.7319,0.4501
Diarrhea,Allergic reaction,0.7387,0.1363,0.1277,0.55,0.8,0.4063,7,57,270.0,120.0,0.2688,0.6617,0.4467
